"","ID","SCREENNAME","TEXT","DATE","DATESTRING","PLACE","CLASSPOL","MODELNEGPOL","MODELPOSPOL","CLASSSENT","MODELNEGSENT","MODELPOSSENT","USERTYPE"
"1","969016185600782336","ottonielfsr","@Cavilas Los chairos NO son pend#$&amp;%, son bien listos e investigadores. no como otros los Meadebots que siempre atacan a AMLO (pero sin pruebas).","1519866436000","2018-02-28 19:07:16","TAMPS","NO_POL","30","1","POS","13","18","local"
"2","954421193423155200","cuauhtemoc29","Los Chairos están desactualizados al igual qué el Lagarto lópez el tal PRIAN ya no existe ahora es PRDAN.","1516386719000","2018-01-19 12:31:59","MEX","POL","0","31","NEG","31","0","local"
"3","968548312109518848","rendonjesusfco","Clásico de chairos quieren erradicar la pobreza la corrupcion el prian Y VIVEN DE PARACAIDISTA NO PAGA LUZ POR QUE DICEN QUE EL GOBIERNO ES EL CULPABLE  @dparamooficial","1519754887000","2018-02-27 12:08:07","VER","POL","0","31","NEG","31","0","local"
"4","963204279732404225","Rodrigo49437297","@mariza062 @EnriqueOchoaR Los del #PRIAN, a los PRIETOS Nos han DENIGRADO y DISCRIMINADO, que Somos INDIOS APESTOSOS, NACOS, CHAIROS.. por Nustros Apellidos y COLOR https://t.co/jyfKtrXxWJ","1518480770000","2018-02-12 18:12:50","TAB","POL","0","31","NEG","31","0","local"
"5","950174650226618368","Rodrigo66267760","@radioamlo Los CHAIROS y NACOS o Mugrosos como NOS llaman los pirruris del #PRIAN y Asoc.. Estamos Orgullosos de Nuesros Orígenes.. Pero no Somos RATAS ni CORRUPTOS","1515374264000","2018-01-07 19:17:44","TAB","POL","0","31","NEG","31","0","local"
"6","963627115303223296","recm1","@lopezdoriga @JTrianaT Chairos, chairos.!!","1518581582000","2018-02-13 22:13:02","CDMX","POL","0","31","POS","3","28","local"
"7","952582748149112833","GregolJose","Si en Morena son Chairos como lo define ColMex.  Entonces en el PRIAN son Oxiuros como se define en diccionario médico o igual a gusanos.....leeros.... leeros","1515948399000","2018-01-14 10:46:39","PUE","POL","0","31","NEG","28","3","local"
"8","962688821635768322","Rodrigo49437297","@revistaproceso El #PRIAN Nos califica, Que por que somos PRIETOS, NACIS, CHAIROS, QUE APESTAMOS y SOMOS IGNORANTES y Nos apellidamos Sanchez, Lopez o Hernadez.. https://t.co/ycF6JPzJgB","1518357875000","2018-02-11 08:04:35","TAB","POL","0","31","NEG","31","0","local"
"9","962449700954746880","GregolJose","@JohnMAckerman NOS DICEN CHAIROS LOS DEL PRIAN. TRATEMOS DE QUE LA RÉPLICA SEA SIN PALABRAS OFENSIVAS..JUNTOS VAMOS A LOGRARLO. AMLO PRESIDENTE","1518300864000","2018-02-10 16:14:24","PUE","POL","1","30","POS","5","26","local"
"10","963623538203664384","recm1","@Foro_TV @JTrianaT Chairos, chairos..!!","1518580729000","2018-02-13 21:58:49","CDMX","POL","0","31","POS","0","31","local"
